origin,target,topics
Cat,Die Katze,Animals
Dog,Der Hund,Animals
Mouse,Die Maus,Animals
Fish,Der Fisch,Animals
Animal,Das Tier,Animals
Bear,Das Bär,Animals
Fox,Der Fuchs,Animals
Bird,Der Vogel,Animals
Rabbit,Das Kaninchen,Animals
Cow,Die Kuh,Animals
Lion,Der Löwe,Animals
Horse,Das Pferd,Animals
Wolf,Der Wolf,Animals
Worm,Der Wurm,Animals
Bee,Die Biene,Animals
Fly,Die Fliege,Animals
Spider,Die Spinne,Animals
Rat,Die Ratte,Animals
Grasshopper,Die Heuschrecke,Animals
Butterfly,Der Schmetterling,Animals
orange,orange,Colours
pink,rosa,Colours
purple,"violett, lila",Colours
yellow,gelb,Colours
blue,blau,Colours
red,rot,Colours
green,grün,Colours
white,weiß,Colours
silver,silber,Colours
gold,gold,Colours
black,schwarz,Colours
grey,grau,Colours
brown,braun,Colours
turquoise,türkis,Colours
beige,beige,Colours
light blue,hellblau,Colours
dark blue,dunkelblau,Colours
colour,Die Farbe,Colours
cream,cremefarben,Colours
granatrot,maroon,Colours
khaki,kaki,Colours
jet black,schwarz wie Ebenholz,Colours
Holiday,Der Urlaub,Going on Holiday
Passport,Der Pass,Going on Holiday
visa,Das Visum,Going on Holiday
swimsuit,Der Badeanzug,Going on Holiday
to ski,Ski laufen,Going on Holiday
to sunbathe,sonnenbaden,Going on Holiday
sun,Die Sonne,Going on Holiday
postcard,Die Ansichtskarte,Going on Holiday
souvenir,Das Andenken,Going on Holiday
ice cream,Die Eis,Going on Holiday
to swim,schwimmen,Going on Holiday
Hotel,Das Hotel,Going on Holiday
sunglasses,Die Sonnenbrille,Going on Holiday
suncream,Die Sonnencreme,Going on Holiday
bikini,Der Bikini,Going on Holiday
beach,Der Strand,Going on Holiday
sandcastle,Die Sandburg,Going on Holiday
bureau de change,Die Wechselstube,Going on Holiday
flight,Der Flug,Going on Holiday;Vehicles
airport,Der Flughafen,Going on Holiday;Vehicles
ferry,Die Fähre,Going on Holiday;Vehicles
All the best,Alles Gute!,Greetings
See you later,Bis bald!,Greetings
Excuse me,Entschuldigung!,Greetings
Merry Christmas,Frohe Weihnachten!,Greetings
Don't mention it,Gern geschehen!,Greetings
Welcome,Herzlich willkommen!,Greetings
Congratulations,Herzlichen Glückwunsch!,Greetings
Cheers,Prost!,Greetings
Have a good/nice holiday,Schöne Ferien!,Greetings
Good luck,Viel Glück!,Greetings
When?,Wann?,Questions
Why?,Warum?,Questions
What sort/type of...?,Was für...?,Questions
What?,Was?,Questions
Which?,Welcher/Welche/Welches?,Questions
Who?,Wer?,Questions
How long?,Wie lang(e)?,Questions
How much/many?,Wie viel(e)?,Questions
How?,Wie?,Questions
Why? How come?,Wieso?,Questions
Where?,Wo?,Questions
Where from?,Woher?,Questions
Where to?,Wohin?,Questions
What with?,Womit?,Questions
"overcast, cloudy",bedeckt,Questions
lightning,Der Blitz,Weather
thunder,Der Donner,Weather
it's lightning,es blitzt,Weather
it's thundering,es donnert,Weather
it's hailing,es hagelt,Weather
damp,feucht,Weather
to freeze,frieren,Weather
fresh,frisch,Weather
thunderstorm,Das Gewitter,Weather
degree,Der Grad,Weather
hail,Der Hagel,Weather
"heavy, severe",heftig,Weather
"bright, fine, clear, fair",heiter,Weather
sky,Der Himmel,Weather
climate,Das Klima,Weather
cool,kühl,Weather
moon,Der Mond,Weather
wet,nass,Weather
fog,Der Nebel,Weather
foggy,nebelig,Weather
precipitation,Der Niederschlag,Weather
rain,Der Regen,Weather
to rain,regnen,Weather
shadow,Der Schatten,Weather
shady,schattig,Weather
shower,Der Schauer,Weather
shine,scheinen,Weather
to snow,schneien,Weather
storm,Der Sturm,Weather
stormy,stürmisch,Weather
dry,trocken,Weather
weather report,Der Wetterbericht,Weather
weather forecast,Die Wettervorhersage,Weather
cloud,Die Wolke,Weather
cloudy,wolkig,Weather
boss,Der Chef,Careers
experience,Die Erfahrung,Careers
driving licence,Der Führerschein,Careers;Vehicles
colleague,Der Kollege,Careers
CV,Der Lebenslauf,Careers
apprenticeship,Die Lehre,Careers
wage,Der Lohn,Careers
minimum wage,Der Mindestlohn,Careers
part-time job,Der Nebenjob,Careers
to earn,verdienen,Careers
pharmacist,Der Apotheker,Careers
work hours,Die Arbeitszeit,Careers
baker,Der Bäcker,Careers
builder,Der Bauarbeiter,Careers
farmer,Der Bauer,Careers
"job, occupation",Der Beruf,Careers
postman,Der Briefträger,Careers
office,Das Büro,Careers
fire fighter,Der Feuerwehrmann,Careers
butcher,Der Fleischer,Careers
hairdresser,Der Friseur,Careers
salary,Das Gehalt,Careers
career,Die Karriere,Careers
plumber,Der Klempner,Careers
"chef, cook",Der Koch,Careers
nurse,Die Krankenschwester,Careers
policeman,Der Polizist,Careers
actor,Der Schauspieler,Careers
cotton,Die Baumwolle,Materials
to be made of,bestehen aus,Materials
iron,Das Eisen,Materials
wood,Das Holz,Materials
leather,Das Leder,Materials
cardboard,Die Pappe,Materials
silk,Die Seide,Materials
material,Der Stoff,Materials
wool,Die Wolle,Materials
airplane,Das Flugzeug,Vehicles
bicycle,Das Fahrrad,Vehicles
car,Das Auto,Vehicles
helicopter,Der Hubschrauber,Vehicles
motorbike,Das Motorrad,Vehicles
taxi,Das Taxi,Vehicles
train,Die Bahn,Vehicles
the truck,Der Lastwagen,Vehicles
